MountMgrQuerySymbolicLink                 PAGE  00017B1A 00000091 R . . . B T . [UNIMPLEMENTED]
MountMgrKeepLinksWhenOffline              PAGE  00017BB0 00000061 R . . . B . . [UNIMPLEMENTED]
MountMgrQuerySystemVolumeNameQueryRoutine PAGE  00017C16 0000006F R . . . B . . [UNIMPLEMENTED]
MountMgrQuerySystemVolumeName             PAGE  00017CEC 00000058 R . . . B T . [UNIMPLEMENTED]
MountMgrValidateBackPointer               PAGE  00017D4A 00000286 R . . . B T . [UNIMPLEMENTED]
MountMgrQueryVolumePaths                  PAGE  00017FD6 000003EC R . . . B . . [UNIMPLEMENTED]
MountMgrQueryDosVolumePath                PAGE  000183C8 00000400 R . . . B . . [UNIMPLEMENTED]
MountmgrWriteNoAutoMount                  PAGE  000187E6 00000032 R . . . B T . [UNIMPLEMENTED]
ScrubRegistryRoutine                      PAGE  0001886E 00000076 R . . . B . . [UNIMPLEMENTED]
MountMgrScrubRegistry                     PAGE  0001893A 00000045 R . . . B T . [UNIMPLEMENTED]
MountMgrQueryAutoMount                    PAGE  00018984 0000003F R . . . B . . [UNIMPLEMENTED]
MountMgrSetAutoMount                      PAGE  000189C8 00000053 R . . . B T . [UNIMPLEMENTED]
MountMgrUnload                            PAGE  00018A20 000001AA R . . . B . . [UNIMPLEMENTED]
MountMgrCreatePointWorker                 PAGE  00018C70 000003CA R . . . B T . [UNIMPLEMENTED]
WriteUniqueIdToMaster                     PAGE  00019090 000000F4 R . . . B T . [UNIMPLEMENTED]
ReconcileThisDatabaseWithMasterWorker     PAGE  000191C0 00000B12 R . . . B . . [UNIMPLEMENTED]
OnlineMountedVolumes                      PAGE  00019CD8 00000306 R . . . B . . [ IMPLEMENTED ]
ReconcileThisDatabaseWithMaster           PAGE  00019FE4 0000007C R . . . B . . [ IMPLEMENTED ]
MountMgrTargetDeviceNotification          PAGE  0001A066 00000077 R . . . B T . [ IMPLEMENTED ]
RegisterForTargetDeviceNotification       PAGE  0001A0E2 00000059 R . . . B T . [ IMPLEMENTED ]
