DiskInitializeReregistration()                     PAGE  0001E07A 0000005F R . . . . . . [ IMPLEMENTED ]
DiskFdoQueryWmiRegInfo(x,x,x)                      PAGE  0001E13A 000000D8 R . . . B . . [UNIMPLEMENTED]
DiskFdoQueryWmiDataBlock(x,x,x,x,x)                PAGE  0001E516 00000313 R . . . B T . [UNIMPLEMENTED]
DiskFdoSetWmiDataBlock(x,x,x,x,x)                  PAGE  0001E924 00000153 R . . . B . . [UNIMPLEMENTED]
DiskFdoSetWmiDataItem(x,x,x,x,x,x)                 PAGE  0001EB7A 00000095 R . . . B T . [UNIMPLEMENTED]
DiskReadSmartLog(x,x,x,x)                          PAGE  0001EC70 000000C5 R . . . B . . [UNIMPLEMENTED]
DiskWriteSmartLog(x,x,x,x)                         PAGE  0001ED96 000000B2 R . . . B . . [UNIMPLEMENTED]
DiskEnableDisableFailurePrediction(x,x)            PAGE  0001EEA8 00000077 R . . . B . . [ IMPLEMENTED ]
DiskEnableDisableFailurePredictPolling(x,x,x)      PAGE  0001EF80 0000007B R . . . B T . [ IMPLEMENTED ]
DiskDetectFailurePrediction(x,x)                   PAGE  0001F0D8 00000178 R . . . B . . [ IMPLEMENTED ]
DiskWmiFunctionControl(x,x,x,x,x)                  PAGE  0001F41E 00000153 R . . . B T . [UNIMPLEMENTED]
DiskFdoExecuteWmiMethod(x,x,x,x,x,x,x)             PAGE  0001F932 000003C2 R . . . B . . [UNIMPLEMENTED]
DiskConvertExtendedToLayout(x)                     PAGE  0001FDD4 00000114 R . . . B T . [UNIMPLEMENTED]
DiskConvertPartitionToExtended(x,x)                PAGE  0001FFBC 000000B6 R . . . B T . [UNIMPLEMENTED]
DiskConvertLayoutToExtended(x)                     PAGE  00020106 000000E0 R . . . B T . [ IMPLEMENTED ]
DiskCreatePdo(x,x,x,x,x)                           PAGE  00020338 0000020A R . . . B T . [ IMPLEMENTED ]
DiskEnumerateDevice(x)                             PAGE  000205DE 00000117 R . . . B . . [ IMPLEMENTED ]
DiskUpdateRemovablePartitions(x,x)                 PAGE  000208CE 0000025A R . . . B T . [UNIMPLEMENTED]
DiskUpdatePartitions(x,x)                          PAGE  00020D5C 0000035B R . . . B T . [ IMPLEMENTED ]
DiskGetPortGeometry(x,x)                           PAGE  00021180 000000F0 R . . . B . . [ IMPLEMENTED ]
DiskIsNT4Geometry(x)                               PAGE  000212D0 00000159 R . . . B T . [ IMPLEMENTED ]
DiskGetDetectInfo(x,x)                             PAGE  00021588 0000015E R . . . B . . [ IMPLEMENTED ]
DiskReadSignature(x)                               PAGE  0002177A 000000BE R . . . B T . [ IMPLEMENTED ]
