PipMergeResourceRequirementsLists(x,x,x)          PAGE  00018384 0000010A R . . . B . . [UNIMPLEMENTED]
PipBuildBootResourceRequirementsList(x,x,x,x)     PAGE  00018577 000006AF R . . . B . . [UNIMPLEMENTED]
PipMergeBootResourcesToRequirementsList(x,x,x)    PAGE  00018C78 000000B3 R . . . B T . [UNIMPLEMENTED]
PipQueryDeviceResourceRequirements(x,x,x,x,x,x,x) PAGE  00018D5C 0000008E R . . . B T . [UNIMPLEMENTED]
FindInterruptTranslator(x,x)                      PAGE  00018DEA 0000006F R . . . B T . [ IMPLEMENTED ]
PipRebuildInterfaces(x)                           PAGE  00018E5A 00000005 R . . . . . . [ IMPLEMENTED ]
PiQueryInterface(x,x)                             PAGE  00018EB6 00000064 R . . . B T . [ IMPLEMENTED ]
PiDispatchPnpFdo(x,x)                             PAGE  00018F6C 00000060 R . . . B . . [ IMPLEMENTED ]
PiDeferProcessingFdo(x,x)                         PAGE  00019026 0000008E R . . . B . . [ IMPLEMENTED ]
PiStartFdo(x,x)                                   PAGE  000190DA 00000049 R . . . B . . [ IMPLEMENTED ]
PiQueryRemoveStopFdo(x,x)                         PAGE  00019170 000000A2 R . . . B . . [ IMPLEMENTED ]
PiCancelRemoveStopFdo(x,x)                        PAGE  000192A6 00000099 R . . . B . . [ IMPLEMENTED ]
PiStopFdo(x,x)                                    PAGE  000193DB 000000AB R . . . B . . [UNIMPLEMENTED]
PiQueryDeviceRelationsFdo(x,x)                    PAGE  00019557 0000022C R . . . B . . [UNIMPLEMENTED]
PiRemoveFdo(x,x)                                  PAGE  00019926 000001CB R . . . B . . [UNIMPLEMENTED]
PiQueryLegacyBusInformationFdo(x,x)               PAGE  00019AF2 00000065 R . . . B . . [ IMPLEMENTED ]
PiQueryInterfaceFdo(x,x)                          PAGE  00019B58 00000046 R . . . B . . [ IMPLEMENTED ]
PiQueryPnpDeviceState(x,x)                        PAGE  00019B9E 0000001B R . . . B . . [ IMPLEMENTED ]
PiSurpriseRemoveFdo(x,x)                          PAGE  00019C45 0000009F R . . . B . . [UNIMPLEMENTED]
PiDispatchPnpPdo(x,x)                             PAGE  00019D7B 00000098 R . . . B T . [ IMPLEMENTED ]
PiStartPdo(x,x)                                   PAGE  00019ED3 0000022D R . . . B T . [UNIMPLEMENTED]
PiQueryRemoveStopPdo(x,x)                         PAGE  0001A1E2 0000016A R . . . B . . [UNIMPLEMENTED]
PiCancelRemoveStopPdo(x,x)                        PAGE  0001A3AF 0000007C R . . . B . . [UNIMPLEMENTED]
PiStopPdo(x,x)                                    PAGE  0001A46E 000000AF R . . . B . . [UNIMPLEMENTED]
PiQueryDeviceRelationsPdo(x,x)                    PAGE  0001A51E 0000009D R . . . B . . [UNIMPLEMENTED]
PiQueryCapabilitiesPdo(x,x)                       PAGE  0001A5BC 00000051 R . . . B . . [UNIMPLEMENTED]
PiQueryDeviceTextPdo(x,x)                         PAGE  0001A60E 0000007F R . . . B . . [UNIMPLEMENTED]
PiQueryIdPdo(x,x)                                 PAGE  0001A6BA 00000266 R . . . B T . [UNIMPLEMENTED]
PiQueryResourcesPdo(x,x)                          PAGE  0001A943 0000006E R . . . B . . [UNIMPLEMENTED]
PiRemovePdo(x,x)                                  PAGE  0001A9F6 00000124 R . . . B T . [UNIMPLEMENTED]
PiQueryBusInformationPdo(x,x)                     PAGE  0001AB1A 00000051 R . . . B . . [UNIMPLEMENTED]
PiDeviceUsageNotificationPdo(x,x)                 PAGE  0001ABAA 000000AC R . . . B T . [UNIMPLEMENTED]
PiSurpriseRemovePdo(x,x)                          PAGE  0001AC8F 000000D9 R . . . B . . [UNIMPLEMENTED]
PiIrpNotSupported(x,x)                            PAGE  0001AD68 00000008 R . . . . . . [ IMPLEMENTED ]
PipBuildRDPResources(x,x)                         PAGE  0001ADAE 00000329 R . . . B . . [UNIMPLEMENTED]
PiQueryDeviceState(x,x)                           PAGE  0001B0D8 0000004F R . . . B . . [UNIMPLEMENTED]
PiFilterResourceRequirementsPdo(x,x)              PAGE  0001B151 000000BA R . . . B . . [UNIMPLEMENTED]
PiQueryResourceRequirementsPdo(x,x)               PAGE  0001B23A 0000009D R . . . B . . [UNIMPLEMENTED]
PipIsIsolationDisabled()                          INIT  0001B3BC 000000A7 R . . . B . . [ IMPLEMENTED ]
DriverEntry(x,x)                                  INIT  0001B464 0000010B R . . . B T . [ IMPLEMENTED ]

TOTAL      : 139
IMPLEMENTED: 042
% COMPLETED: 030
